Symbol,Description,Quantity,Last Price,Current Value,price,target_weight,current_weight,underweight,buy_allocation,shares_to_buy,overweight,sell_allocation_overweight,shares_to_sell
SYK,STRYKER CORPORATION COM,0.5,$387.86,194.3350067138672,388.6700134277344,0.03225806451612903,0.00916328549232042,0.02309477902380861,1851.9999294281438,4.76,0.0,0.0,0.0
TJX,TJX COMPANIES INC,1.42,$131.55,186.23299133300782,131.14999389648438,0.03225806451612903,0.008781259210728778,0.023476805305400254,1882.6351065743743,14.35,0.0,0.0,0.0
UBER,UBER TECHNOLOGIES INC COM,2.5,$90.605,226.77499771118164,90.70999908447266,0.03225806451612903,0.010692896157445559,0.021565168358683474,1729.3384897605943,19.06,0.0,0.0,0.0
V,VISA INC,0.53,$356.89,188.3142987060547,355.30999755859375,0.03225806451612903,0.008879397029431614,0.023378667486697417,1874.7653091138957,5.28,0.0,0.0,0.0
WMT,WALMART INC COM,1.89,$96.41,181.8178067779541,96.19989776611328,0.03225806451612903,0.008573074400058977,0.023684990116070052,1899.3297133628178,19.74,0.0,0.0,0.0
RSG,REPUBLIC SERVICES INC,0.73,$238.91,174.7255044555664,239.35000610351562,0.03225806451612903,0.008238658115124925,0.024019406401004105,1926.1469838575476,8.05,0.0,0.0,0.0
MCO,MOODYS CORP COM USD0.01,0.4,$487.985,194.78199462890626,486.9549865722656,0.03225806451612903,0.009184361869378675,0.023073702646750356,1850.3097877392258,3.8,0.0,0.0,0.0
ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,0.3,$761.85,228.3990051269531,761.3300170898438,0.03225806451612903,0.010769471365607977,0.021488593150521054,1723.1978256751515,2.26,0.0,0.0,0.0
CTAS,CINTAS CORP,0.87,$216.965,188.5725,216.75,0.03225806451612903,0.00889157173851216,0.02336649277761687,1873.7890035889657,8.64,0.0,0.0,0.0
PWR,QUANTA SERVICES COM USD0.00001,0.63,$342.24,215.5513430786133,342.1449890136719,0.03225806451612903,0.010163678321686019,0.02209438619444301,1771.7771462841476,5.18,0.0,0.0,0.0
LLY,ELI LILLY &CO COM,0.2,$751.27,149.2324951171875,746.1624755859375,0.03225806451612903,0.0070366115740717146,0.025221452942057316,2022.5406365919987,2.71,0.0,0.0,0.0
